epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,88.714,0.78058,1.11745,1.24514,0.82276,0.75,0.81952,0.4234,1.64655,1.67718,2.04748,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,89.8762,0.79645,1.06259,1.25725,0.85334,0.75,0.85578,0.44762,1.63639,1.64965,2.05935,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,91.0222,0.70413,0.88368,1.17332,0.74794,0.75,0.81595,0.47497,1.51477,1.61243,1.94477,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,92.24,0.74018,0.8662,1.20883,0.74926,0.75,0.77722,0.46402,1.53318,1.58587,1.97002,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,93.2981,0.77201,0.84367,1.33778,0.83308,0.75,0.77825,0.49697,1.52048,1.59893,1.94572,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,94.4793,0.68739,0.88097,1.1761,0.85422,0.73466,0.72791,0.46119,1.56073,1.59887,1.97527,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,95.6448,0.81794,0.92032,1.24485,0.80662,0.75,0.71172,0.43051,1.50762,1.64856,1.90025,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,96.7934,0.73817,0.92749,1.23545,0.73103,0.75,0.76467,0.46066,1.52787,1.6198,1.91775,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,97.9018,0.67521,0.88273,1.15545,0.73259,0.75,0.73583,0.47589,1.49643,1.59681,1.87409,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,99.088,0.73943,0.93753,1.21768,0.8739,0.86733,0.8515,0.46129,1.46348,1.54217,1.85226,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,100.249,0.70017,0.90362,1.16978,0.87302,0.86117,0.82602,0.48124,1.45369,1.5276,1.81759,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,101.409,0.71905,0.813,1.15685,0.87414,0.86899,0.82683,0.47884,1.41552,1.49017,1.8179,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,102.576,0.71471,0.79389,1.1601,0.86899,0.875,0.82824,0.47949,1.42503,1.5209,1.82609,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,103.778,0.73017,0.83667,1.17355,0.86725,0.875,0.83028,0.48688,1.41258,1.50855,1.81599,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,104.966,0.64701,1.69021,1.07821,0.87457,0.87202,0.83028,0.51061,1.38853,1.58164,1.78601,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,106.176,0.7219,0.84873,1.18606,0.87171,0.852,0.84679,0.50479,1.35653,1.59581,1.75126,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,120.567,0.56466,1.06881,1.15398,0.83361,0.75,0.7803,0.48511,1.31589,1.63473,1.71166,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,121.754,0.73824,1.24109,1.26977,0.8148,0.75,0.74917,0.46838,1.29026,1.60958,1.67289,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,122.947,0.69689,1.4288,1.25361,0.72442,0.875,0.77638,0.46981,1.33027,1.5518,1.74178,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,124.11,0.63795,1.14298,1.19946,0.86354,0.875,0.80514,0.48417,1.37061,1.49516,1.77545,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,125.19,0.66452,1.35911,1.26862,0.87399,0.86795,0.79772,0.46718,1.35986,1.51222,1.76914,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,126.289,0.57947,1.0474,1.13471,0.87252,0.85764,0.79774,0.47829,1.38392,1.512,1.77571,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,127.474,0.67161,1.08854,1.22076,0.84351,0.875,0.81703,0.50204,1.40656,1.5115,1.78166,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,128.627,0.68862,1.10732,1.22324,0.85299,0.875,0.81392,0.52146,1.41427,1.51816,1.80093,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,129.712,0.66152,1.15793,1.16707,0.87148,0.875,0.81387,0.51044,1.3936,1.52136,1.78696,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,130.86,0.58683,1.11261,1.1327,0.82077,0.75,0.79648,0.49743,1.38992,1.50438,1.78893,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
